year,make,model,minwidth,maxwidth,mindiametermm,maxdiametermm,boltpattern,offsetrange,wheelsizerange,oemtiresize,oemrearsize
2013,aston-martin,db9,235,295,660,682, 5x4.5(5x114.3), 38 to 50, 19X8.0 to 20 X 9, 235/40-19(235X671 mm) 245/35-20(245X680 mm), 275/35-19(275X675 mm)
2013,aston-martin,ripide,245,305,691,733, 5x4.5(5x114.3), 38 to 45, 20X8.0 to 22 X 9.5, (Rear) 295/35-20(295X715 mm),""
2013,aston-martin,v12-vantage,245,285,651,698, 5x4.5(5x114.3), 35 to 51, 20X8.0 to 21 X 9.5, (Rear) 295/30-19(295X660 mm),""
2013,aston-martin,vantage-v8,235,295,668,703, 5x4.5(5x114.3), 38 to 50, 19X8.0 to 20 X 9.5, (Rear) 285/35-19(285X682 mm),""
2013,acura,ilx,205,255,622,657, 5x114.3(5x4.5), 33 to 50, 16X7 to 20 X 9.5, 205/55-16(205X632 mm) 215/45-17(215X625 mm),""
2013,acura,mdx,255,275,730,763, 5x120, 33 to 45, 18X7.5 to 22 X 9.5, 255/55-18(255X738 mm),""
2013,acura,rdx,235,265,729,763, 5x114.3(5x4.5), 33 to 45, 18X7.0 to 20 X 8.75, 235/60-18(235X739 mm),""
2013,acura,tl,245,255,677,687, 5x120, 33 to 50, 17X8.0 to 20 X 9, 245/50-17(245X677 mm) 245/40-19(245X679 mm) 245/45-18(245X678 mm),""
2013,acura,tsx,225,245,647,680, 5x114.3(5x4.5), 40 to 50, 17X6.5 to 20 X 8.5, 225/50-17(225X657 mm) 225/45-18(225X660 mm),""
2013,acura,zdx,255,275,730,763, 5x120, 30 to 42, 19X7.5 to 22 X 9.5, 255/50-19(255X738 mm) 275/40-20(275X728 mm),""
2013,audi,a3-2.0,215,235,625,649, 5x112, 40 to 50, 17X7.0 to 20 X 8.5, 225/45-17(225X634 mm) 225/40-18(225X637 mm),""
2013,audi,a4,225,255,652,663, 5x112, 32 to 45, 17X7.0 to 20 X 9.0, 225/50-17(225X657 mm) 245/45-17(245X652 mm) 245/40-18(245X653 mm),""
2013,audi,a4-s_line,225,255,653,663, 5x112, 32 to 45, 18X7.5 to 20 X 9.0, 245/40-18(245X653 mm) 255/35-19(255X661 mm),""
2013,audi,a5,245,265,642,667, 5x112, 30 to 42, 17X7.5 to 20 X 9.5, 245/45-17(245X652 mm) 245/40-18(245X653 mm),""
2013,audi,a5-s_line,245,265,653,667, 5x112, 30 to 42, 18X8.0 to 20 X 9.5, 255/35-19(255X661 mm),""
2013,audi,a6,225,255,678,704, 5x112, 30 to 50, 17X7.5 to 20 X 9, 225/55-17(225X679 mm) 255/40-19(255X687 mm) 245/45-18(245X678 mm),""
2013,audi,a6-prestige,245,255,678,704, 5x112, 30 to 50, 17X7.5 to 20 X 9, 245/45-18(245X678 mm) 255/35-20(255X687 mm) 255/40-19(255X687 mm),""
2013,audi,a7,255,285,679,712, 5x112, 20 to 42, 18X8.0 to 22 X 10.5, 255/45-18(255X687 mm) 255/40-19(255X687 mm) 265/35-20(265X694 mm),""
2013,audi,a8-_-a8l,245,275,703,726, 5x112, 20 to 35, 19X8.0 to 22 X 10, 255/45-19(255X712 mm) 265/40-20(265X720 mm),""
2013,audi,a8l-w12,265,275,718,728, 5x112, 20 to 35, 20X8.0 to 22 X 10, 265/40-20(265X720 mm),""
2013,audi,all-road,245,255,678,687, 5x112, 25 to 45, 18X8.0 to 20 X 9.5, 245/45-18(245X678 mm) 245/40-19(245X679 mm),""
2013,audi,q5,235,265,729,753, 5x112, 25 to 40, 18X8.0 to 22 X 9.5, 235/60-18(235X739 mm) 235/55-19(235X741 mm) 255/45-20(255X738 mm),""
2013,audi,q7,265,295,740,781, 5x130, 45 to 60, 19X8.5 to 22 X 10.5, 265/50-19(265X748 mm) 275/45-20(275X756 mm) 295/35-21(295X740 mm),""
2013,audi,rs5,255,295,651,681, 5x112, 25 to 35, 19X8.5 to 21 X 10, 265/35-19(265X668 mm) 275/30-20(275X673 mm),""
2013,audi,s4,245,265,653,678, 5x112, 35 to 46, 18X8.0 to 20 X 9, 245/40-18(245X653 mm) 255/35-19(255X661 mm),""
2013,audi,s5,255,285,651,673, 5x112, 25 to 38, 19X9.0 to 20 X 10, 255/35-19(255X661 mm),""
2013,audi,s6,255,275,661,677, 5x112, 40 to 50, 18X8.5 to 20 X 9.5, 255/40-18(255X661 mm) 265/35-19(265X668 mm),""
2013,audi,s7,255,275,686,712, 5x112, 30 to 46, 19X8.0 to 22 X 9.5, 255/40-19(255X687 mm) 265/35-20(265X694 mm),""
2013,audi,s8,265,275,718,728, 5x112, 34 to 42, 20X8.5 to 22 X 9.5, 265/35-21(265X719 mm) 275/35-21(275X726 mm),""
2013,audi,tt-rs,255,265,661,668, 5x112, 40 to 55, 19X8.0 to 20 X 9, 255/35-19(255X661 mm) 255/30-20(255X661 mm),""
2013,audi,tts,245,255,654,661, 5x112, 40 to 55, 19X8.0 to 20 X 9, 255/35-19(255X661 mm),""
2013,bentley,continental-flying-spur,255,275,694,720, 5x112, 22 to 40, 19X8.5 to 22 X 10, 275/40-19(275X703 mm) 275/35-20(275X701 mm),""
2013,bentley,continental-gt,255,275,694,720, 5x112, 22 to 40, 19X8.5 to 22 X 10, 275/40-19(275X703 mm),""
2013,bentley,continental-gtc,275,295,726,753, 5x112, 22 to 40, 20X9.0 to 22 X 10.5, 275/40-20(275X728 mm) 275/35-21(275X726 mm),""
2013,bentley,continental-supersports,255,275,694,720, 5x112, 22 to 35, 20X9.0 to 22 X 9.5, 275/35-20(275X701 mm),""
2013,bmw,1-series-m-coupe,245,285,654,679, 5x120, 35 to 45, 19X8.0 to 20 X 8.5, (Rear) 265/35-19(265X668 mm),""
2013,bmw,128i,205,235,622,657, 5x120, 35 to 45, 16X7.0 to 20 X 8.5, 205/55-16(205X632 mm) 205/50-17(205X637 mm),""
2013,bmw,135i,205,245,628,657, 5x120, 35 to 45, 17X7.0 to 20 X 8.5, 205/50-17(205X637 mm) 215/40-18(215X629 mm) 225/45-17(225X634 mm),""
2013,bmw,3-series-2-door-(e92),225,245,628,655, 5x120, 30 to 42, 17X7.0 to 20 X 9, 225/45-17(225X634 mm) 225/40-18(225X637 mm) 225/45-17(225X634 mm),""
2013,bmw,3-series-sedan-(f30),225,255,647,680, 5x120, 32 to 40, 17X7.0 to 20 X 9, 225/50-17(225X657 mm) 225/45-18(225X660 mm) 225/45-18(225X660 mm),""
2013,bmw,3-series-wagon-(f31),225,245,629,655, 5x120, 30 to 42, 18X7.5 to 20 X 9, 225/45-18(225X660 mm),""
2013,bmw,5-series-(f07)-gran-turismo,245,245,702,704, 5x120, 15 to 30, 18X8.0 to 21 X 9, 245/50-18(245X702 mm) 245/40-20(245X704 mm) 245/45-19(245X703 mm),""
2013,bmw,5-series-(f10),235,255,669,704, 5x120, 30 to 40, 18X8.0 to 20 X 9, 225/55-17(225X679 mm) 245/45-18(245X678 mm),""
2013,bmw,5-series-(f10)-sport-package,245,295,673,708, 5x120, 30 to 40, 18X8.0 to 20 X 9, (Rear) 275/35-19(275X675 mm),""
2013,bmw,6-series,245,295,673,718, 5x120, 25 to 40, 19X8.0 to 22 X 9.25, 245/40-19(245X679 mm) 245/40-19(245X679 mm) 245/35-20(245X680 mm), 275/35-19(275X675 mm)
2013,bmw,"7-series-(f01,-f02)",245,275,692,727, 5x120, 20 to 35, 18X8.0 to 22 X 10, 245/50-18(245X702 mm),""
2013,bmw,"7-series-(f01,-f02)-sport-package",245,305,686,733, 5x120, 20 to 35, 19X8.0 to 22 X 10, 245/45-19(245X703 mm) 245/35-21(245X705 mm) 245/40-20(245X704 mm), 275/40-19(275X703 mm)
2013,bmw,m3-(e92),245,295,648,675, 5x120, 35 to 40, 18X7.0 to 20 X 9, 245/40-18(245X653 mm) 245/35-19(245X654 mm), 265/40-18(265X669 mm)
2013,bmw,m6-(e63-e64),255,305,660,715, 5x120, 25 to 40, 19X8.5 to 22 X 9.5, 265/40-19(265X695 mm) 265/35-20(265X694 mm), 295/35-19(295X689 mm)
2013,bmw,x3-(f25),235,255,680,714, 5x120, 32 to 40, 17X7.5 to 20 X 9, 235/55-17(235X690 mm) 235/50-18(235X692 mm) 235/45-19(235X694 mm),""
2013,bmw,x5-(e70),255,285,728,760, 5x120, 15 to 40, 17X8.0 to 22 X 10, 255/55-18(255X738 mm) 255/50-19(255X738 mm) 275/40-20(275X728 mm),""
2013,bmw,x6-xdrive,255,295,728,763, 5x120, 30 to 45, 19X9.0 to 22 X 10.5, 255/50-19(255X738 mm) 275/40-20(275X728 mm),""
2013,bmw,z4-3.0,225,235,637,645, 5x120, 25 to 50, 17X7.0 to 19 X 8.5, 225/45-17(225X634 mm) 225/45-17(225X634 mm) 225/40-18(225X637 mm),""
2013,bmw,z4-3.5,225,275,628,661, 5x120, 25 to 50, 17X7.0 to 19 X 8.5, 225/45-17(225X634 mm) 225/40-18(225X637 mm), 255/40-17(255X636 mm)
2013,buick,enclave,255,285,785,809, 6x132, 30 to 42, 18X8 to 24 X 10, 255/65-18(255X789 mm) 255/55-20(255X789 mm) 255/60-19(255X789 mm),""
2013,buick,encore,215,235,685,727, 5x105, 35 to 48, 18X7.5 to 20 X 8.5, 215/55-18(215X694 mm),""
2013,buick,lacrosse-2.4,255,265,661,667, 5x120, 34 to 45, 17X7.0 to 22 X 9.5, 235/50-17(235X667 mm),""
2013,buick,lacrosse-3.6,235,265,671,704, 5x120, 34 to 45, 17X7.0 to 22 X 9.5, 245/50-17(245X677 mm) 245/40-19(245X679 mm) 235/50-18(235X692 mm),""
2013,buick,regal-eassist,235,265,667,692, 5x120, 34 to 45, 17X8.0 to 22 X 9.0, 235/50-17(235X667 mm),""
2013,buick,regal-gs,245,265,679,706, 5x120, 34 to 45, 19X8.0 to 22 X 9.5, 245/40-19(245X679 mm) 255/35-20(255X687 mm),""
2013,buick,verano,225,245,649,682, 5x115, 30 to 48, 17X7.0 to 20 X 8.5, 225/50-17(225X657 mm) 235/45-18(235X669 mm),""
2013,cadillac,ats-awd,225,245,629,655, 5x115, 34 to 45, 17X7.5 to 20 X 9, 225/45-17(225X634 mm) 225/40-18(225X637 mm),""
2013,cadillac,ats-rwd-premium-w!brembo,225,285,629,667, 5x115, 32 to 45, 18X7.5 to 20 X 9, (Rear) 255/35-18(255X636 mm),""
2013,cadillac,ats-rwd-w!o-brembo,225,245,628,655, 5x115, 34 to 45, 17X7.5 to 20 X 9, 225/45-17(225X634 mm) 225/40-18(225X637 mm),""
2013,cadillac,cts-coupe-rwd,235,295,673,708, 5x120, 34 to 45, 18X8.5 to 20 X 9, 235/50-18(235X692 mm) 235/45-19(235X694 mm), 265/45-18(265X696 mm)
2013,cadillac,cts-sedan,235,255,680,712, 5x120, 34 to 45, 18X7.5 to 22 X 9.25, 235/55-17(235X690 mm) 235/50-18(235X692 mm) 245/45-19(245X703 mm),""
2013,cadillac,cts-sport-wagon,235,255,680,704, 5x120, 34 to 45, 18X7.5 to 20 X 9, 235/55-17(235X690 mm) 235/50-18(235X692 mm) 245/45-19(245X703 mm),""
2013,cadillac,cts_v-sedan,245,305,673,715, 5x120, 34 to 45, 19X8.5 to 20 X 9, (Rear) 285/35-19(285X682 mm),""
2013,cadillac,cts_v-sport-wagon,245,305,673,715, 5x120, 34 to 45, 19X8.5 to 20 X 9, (Rear) 285/35-19(285X682 mm),""
2013,cadillac,escalade,265,305,789,843, 6x5.5(6x139.7), 15 to 40, 17X7.0 to 26 X 10.5, 265/65-18(265X802 mm) 285/45-22(285X815 mm),""
2013,cadillac,escalade-esv,265,305,789,831, 6x5.5(6x139.7), 15 to 40, 17X7.0 to 26 X 10.5, 265/65-18(265X802 mm) 285/45-22(285X815 mm),""
2013,cadillac,escalade-ext,265,305,789,831, 6x5.5(6x139.7), 15 to 40, 17X7.0 to 26 X 10.5, 265/65-18(265X802 mm) 285/45-22(285X815 mm),""
2013,cadillac,lifted-escalade,295,355,833,939, 6x5.5(6x139.7), -76 to 2, 16X8.0 to 30 X 14, 305/70-16(305X833 mm),""
2013,cadillac,lifted-escalade-ext,295,355,833,939, 6x5.5(6x139.7), -76 to 2, 16X8.0 to 30 X 14, 305/70-16(305X833 mm),""
2013,cadillac,srx,245,285,753,787, 6x120, 30 to 45, 18X7.5 to 22 X 9.5, 235/65-18(235X763 mm) 235/55-20(235X767 mm),""
2013,cadillac,xts,245,265,694,728, 5x120, 32 to 45, 19X8.5 to 22 X 9.5, 245/45-19(245X703 mm) 245/40-20(245X704 mm),""
2013,cadillac,xts-premium,245,265,694,728, 5x120, 32 to 45, 19X8.5 to 22 X 9.5, 245/45-19(245X703 mm) 245/40-20(245X704 mm),""
2013,chevrolet,avalanche,265,305,799,828, 6x5.5(6x139.7), 15 to 40, 16X7.0 to 26 X 10.5, 265/70-17(265X803 mm) 275/55-20(275X811 mm),""
2013,chevrolet,camaro-ls-_-lt,245,275,718,752, 5x120, 24 to 40, 18X8.0 to 24 X 10.0, 245/55-18(245X727 mm) 245/45-20(245X729 mm),""
2013,chevrolet,caprice,235,255,661,700, 5x120, 34 to 45, 18X7.5 to 22 X 9, 235/50-18(235X692 mm),""
2013,chevrolet,captiva-sport,235,265,704,722, 5x115, 34 to 45, 17X7.5 to 20 X 8.5, 235/60-17(235X714 mm) 235/55-18(235X716 mm),""
2013,chevrolet,corvette-grand-sport,275,325,640,671, 5x4.75(5x120.65), 37 to 50, 18X9.5 to 20 X 10.5, (Rear) 325/30-19(325X678 mm),""
2013,chevrolet,corvette-z06,275,325,640,671, 5x4.75(5x120.65), 37 to 50, 18X9.5 to 20 X 10.5, (Rear) 325/30-19(325X678 mm),""
2013,chevrolet,cruze-ltz,225,235,657,685, 5x105, 30 to 48, 17X7.0 to 20 X 8.5, 225/50-17(225X657 mm) 225/45-18(225X660 mm),""
2013,chevrolet,equinox,235,255,720,738, 5x120, 34 to 42, 17X7.5 to 22 X 9, 225/65-17(225X724 mm) 235/55-18(235X716 mm),""
2013,chevrolet,equinox-ltz-19-inch,235,255,737,741, 5x120, 34 to 42, 18X8.0 to 22 X 9, 235/55-19(235X741 mm),""
2013,chevrolet,express-g1500,235,305,749,843, 6x5.5(6x139.7), 0 to 20, 16X7.0 to 26 X 10, 235/75-16(235X759 mm),""
2013,chevrolet,express-g2500-6-lug,245,265,773,789, 6x5.5(6x139.7), -12 to 15, 16X6.5 to 20 X 9, 245/75-16(245X774 mm),""
2013,chevrolet,express-g2500-8-lug,245,265,773,789, 8x6.5(8x165)(8x165.1), -12 to 15, 16X6.5 to 20 X 9, 245/75-16(245X774 mm),""
2013,chevrolet,express-g3500-8-lug,245,265,774,777, 8x6.5(8x165)(8x165.1), -12 to 15, 16X6.5 to 20 X 9, 245/75-16(245X774 mm),""
2013,chevrolet,impala,235,245,673,700, 5x115, 34 to 45, 16X6.5 to 22 X 9, 225/60-16(225X676 mm) 225/55-17(225X679 mm),""
2013,chevrolet,impala-ltz,235,255,686,704, 5x115, 34 to 45, 18X7.5 to 22 X 9, 235/50-18(235X692 mm) 245/40-20(245X704 mm),""
2013,chevrolet,lifted-avalanche-6-lug,295,355,833,939, 6x5.5(6x139.7), -76 to 2, 16X8.0 to 30 X 14, 305/70-16(305X833 mm),""
2013,chevrolet,lifted-silverado-6-lug,295,355,833,939, 6x5.5(6x139.7), -76 to 2, 16X8.0 to 30 X 14, 305/70-16(305X833 mm),""
2013,chevrolet,lifted-silverado-8-lug,295,355,833,898, 8x180, -50 to 2, 16X8.0 to 30 X 12, 305/70-16(305X833 mm),""
2013,chevrolet,lifted-suburban-8-lug,295,355,833,939, 8x6.5(8x165)(8x165.1), -50 to 2, 16X8.0 to 30 X 12, 305/70-16(305X833 mm),""
2013,chevrolet,lifted-tahoe,295,355,833,939, 6x5.5(6x139.7), -76 to 2, 16X8.0 to 30 X 14, 305/70-16(305X833 mm),""
2013,chevrolet,malibu-ls,215,245,664,688, 5x120, 34 to 45, 16X7.0 to 22 X 8.5, 215/60-16(215X664 mm),""
